               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 136,            0.045332,            0.023051,           0.0042471,             0.95764,             0.91937,               0.946,             0.47112,            0.041134,            0.017612,           0.0041754,           0.0005545,           0.0005545,           0.0005545
                 137,            0.045059,            0.023006,           0.0044512,             0.92742,             0.91205,             0.94014,             0.45932,            0.041093,            0.017504,           0.0046256,           0.0005512,           0.0005512,           0.0005512
                 138,             0.04452,            0.022689,           0.0039601,             0.95575,             0.89649,             0.93944,             0.45036,            0.041799,            0.017584,           0.0046722,           0.0005479,           0.0005479,           0.0005479
                 139,            0.044501,            0.021481,           0.0042416,             0.94859,             0.88178,             0.92973,             0.44278,            0.041453,            0.017494,           0.0045487,           0.0005446,           0.0005446,           0.0005446
                 140,            0.044778,            0.022983,            0.003603,             0.95711,             0.88647,             0.93633,             0.46502,            0.041549,            0.017646,           0.0051045,           0.0005413,           0.0005413,           0.0005413
                 141,            0.046583,            0.023204,           0.0039433,             0.95196,             0.89437,             0.93479,             0.45268,            0.041718,            0.017396,            0.004499,            0.000538,            0.000538,            0.000538
                 142,            0.045659,            0.022001,            0.003595,             0.94463,             0.90243,             0.94299,             0.44338,            0.042545,            0.017369,           0.0045653,           0.0005347,           0.0005347,           0.0005347
                 143,            0.044933,            0.022557,           0.0038855,             0.90823,             0.92629,             0.94296,             0.46907,            0.040794,            0.017127,           0.0055955,           0.0005314,           0.0005314,           0.0005314
                 144,            0.043406,            0.021967,           0.0036604,              0.9345,             0.91159,             0.93521,             0.48868,             0.03998,             0.01712,           0.0048984,           0.0005281,           0.0005281,           0.0005281
                 145,            0.043121,            0.021631,           0.0034638,             0.94006,             0.91695,             0.94863,             0.46864,            0.040903,            0.017309,           0.0039342,           0.0005248,           0.0005248,           0.0005248
                 146,            0.044602,            0.021859,           0.0037041,             0.92795,             0.91262,             0.93741,             0.46964,            0.040445,            0.017018,           0.0050583,           0.0005215,           0.0005215,           0.0005215
                 147,            0.043696,            0.022558,           0.0037447,             0.95281,              0.9013,             0.93516,             0.46299,            0.041072,            0.017212,           0.0041267,           0.0005182,           0.0005182,           0.0005182
                 148,            0.044197,            0.021998,           0.0035383,             0.93912,             0.91012,             0.93312,             0.47624,            0.041134,            0.017025,           0.0043623,           0.0005149,           0.0005149,           0.0005149
                 149,             0.04444,            0.022008,           0.0039516,              0.9553,             0.88975,             0.94225,             0.47547,            0.040822,            0.017361,           0.0049948,           0.0005116,           0.0005116,           0.0005116
                 150,            0.044373,            0.021577,           0.0043559,             0.96434,             0.89064,             0.94047,             0.47243,            0.040686,            0.017349,           0.0043022,           0.0005083,           0.0005083,           0.0005083
                 151,            0.044949,            0.021612,           0.0038561,             0.95494,             0.89836,             0.93843,             0.46714,            0.040986,            0.017771,           0.0042157,            0.000505,            0.000505,            0.000505
                 152,            0.043003,            0.022714,           0.0035557,             0.95993,             0.89968,             0.94753,             0.47653,            0.040253,            0.017405,           0.0039083,           0.0005017,           0.0005017,           0.0005017
                 153,            0.043933,            0.021958,           0.0039041,             0.93359,             0.91447,               0.948,             0.47585,            0.040698,            0.017627,           0.0049321,           0.0004984,           0.0004984,           0.0004984
